mote_id,type,seq_id,etx,hop_count,energy,degree,sent_time,received_time,latency,initial_energy,energy_consumed
24,High,1,516,5,48599820,3,60347,664684.0,,48600000,180
8,Low,1,642,3,16199709,6,60385,1263181.0,,16200000,291
11,Low,1,385,2,16199812,6,60503,660556.0,,16200000,188
11,Low,1,385,2,16199812,6,60503,1260557.0,,16200000,188
2,Weak,1,325,4,32399888,5,60548,1264309.0,,32400000,112
6,Weak,1,463,6,32399873,2,60562,76808.0,16246.0,32400000,127
6,Weak,1,463,6,32399873,2,60562,669556.0,,32400000,127
18,High,1,670,3,48599906,6,60639,,,48600000,94
4,Weak,1,256,3,32399812,6,60660,,,32400000,188
7,Weak,1,278,9,32399863,3,60713,,,32400000,137
14,High,1,2355,13,48599845,2,60762,,,48600000,155
15,High,1,2023,12,48599804,2,60774,667306.0,,48600000,196
25,High,1,398,7,48599835,2,60779,77056.0,16277.0,48600000,165
20,High,1,324,6,48599895,2,60784,668806.0,,48600000,105
16,High,1,716,9,48599792,3,60785,,,48600000,208
10,Low,1,490,5,16199855,4,60868,,,16200000,145
12,Low,1,859,5,16199732,5,60906,668181.0,,16200000,268
22,High,1,716,8,48599910,2,60974,666556.0,,48600000,90
9,Low,1,696,4,16199782,5,61020,75434.0,14414.0,16200000,218
5,Weak,1,492,2,32399866,6,61027,667556.0,,32400000,134
5,Weak,1,492,2,32399866,6,61027,1265058.0,,32400000,134
19,High,1,486,2,48599878,6,61031,,,48600000,122
17,High,1,442,7,48599919,2,61120,,,48600000,81
13,Low,1,463,6,16199892,2,61195,,,16200000,108
3,Weak,1,742,6,32399924,2,61211,,,32400000,76
21,High,1,716,3,48599901,5,61219,66309.0,5090.0,48600000,99
21,High,1,716,3,48599901,5,61219,666805.0,,48600000,99
23,High,1,288,2,48599875,6,61257,1263558.0,,48600000,125
24,High,2,821,6,48599667,3,120347,,,48600000,333
8,Low,2,804,4,16199528,6,120385,725808.0,,16200000,472
11,Low,2,542,3,16199555,6,120502,120557.0,55.0,16200000,445
11,Low,2,542,3,16199555,6,120502,720556.0,,16200000,445
2,Weak,2,310,4,32399713,5,120548,129932.0,9384.0,32400000,287
6,Weak,2,489,8,32399803,2,120562,727309.0,,32400000,197
18,High,2,726,3,48599750,6,120638,726806.0,,48600000,250
4,Weak,2,256,4,32399632,6,120660,726308.0,,32400000,368
7,Weak,2,319,9,32399804,3,120713,132181.0,11468.0,32400000,196
14,High,2,1954,11,48599617,2,120762,728055.0,,48600000,383
15,High,2,1937,11,48599663,2,120774,,,48600000,337
25,High,2,529,7,48599678,2,120779,727933.0,,48600000,322
20,High,2,702,8,48599756,2,120784,,,48600000,244
16,High,2,765,10,48599639,3,120785,134681.0,13896.0,48600000,361
16,High,2,765,10,48599639,3,120785,727058.0,,48600000,361
10,Low,2,463,5,16199642,4,120868,,,16200000,358
12,Low,2,624,5,16199464,5,120906,726429.0,,16200000,536
22,High,2,777,9,48599821,2,120974,132683.0,11709.0,48600000,179
22,High,2,777,9,48599821,2,120974,729431.0,,48600000,179
9,Low,2,486,6,16199487,5,121020,726931.0,,16200000,513
19,High,2,639,3,48599717,6,121031,,,48600000,283
5,Weak,2,554,3,32399659,6,121073,726442.0,,32400000,341
17,High,2,489,8,48599819,2,121120,133180.0,12060.0,48600000,181
13,Low,2,716,8,16199770,2,121195,,,16200000,230
3,Weak,2,1003,8,32399822,3,121211,727334.0,,32400000,178
21,High,2,614,3,48599734,5,121218,,,48600000,266
23,High,2,699,3,48599692,6,121257,726555.0,,48600000,308
24,High,3,667,6,48599592,3,180347,782183.0,,48600000,408
8,Low,3,1074,5,16199394,6,180385,,,16200000,606
11,Low,3,463,2,16199496,6,180502,180556.0,54.0,16200000,504
11,Low,3,463,2,16199496,6,180502,780556.0,,16200000,504
2,Weak,3,330,4,32399658,5,180548,189557.0,9009.0,32400000,342
2,Weak,3,330,4,32399658,5,180548,783557.0,,32400000,342
6,Weak,3,677,9,32399727,2,180562,184683.0,4121.0,32400000,273
18,High,3,740,3,48599555,6,180638,185307.0,4669.0,48600000,445
4,Weak,3,304,4,32399514,6,180660,785806.0,,32400000,486
7,Weak,3,307,10,32399694,3,180713,,,32400000,306
14,High,3,2068,12,48599502,2,180762,,,48600000,498
15,High,3,2055,12,48599545,2,180774,787931.0,,48600000,455
25,High,3,806,9,48599516,2,180779,185432.0,4653.0,48600000,484
20,High,3,463,8,48599625,2,180784,788059.0,,48600000,375
16,High,3,688,11,48599561,3,180785,,,48600000,439
10,Low,3,661,6,16199438,5,180868,188684.0,7816.0,16200000,562
10,Low,3,661,6,16199438,5,180868,787809.0,,16200000,562
12,Low,3,697,5,16199325,5,180906,,,16200000,675
22,High,3,720,9,48599728,2,180980,,,48600000,272
9,Low,3,637,7,16199244,5,181020,,,16200000,756
5,Weak,3,598,3,32399525,6,181027,184431.0,3404.0,32400000,475
5,Weak,3,598,3,32399525,6,181027,783432.0,,32400000,475
19,High,3,850,4,48599599,6,181031,186184.0,5153.0,48600000,401
17,High,3,567,9,48599700,2,181121,,,48600000,300
13,Low,3,886,9,16199630,2,181195,787684.0,,16200000,370
3,Weak,3,1119,8,32399733,3,181211,,,32400000,267
21,High,3,751,3,48599625,5,181219,782933.0,,48600000,375
23,High,3,898,4,48599577,6,181257,,,48600000,423
24,High,4,646,5,48599514,3,240347,,,48600000,486
8,Low,4,273,4,16199208,6,240385,,,16200000,792
11,Low,4,371,2,16199355,6,240502,240556.0,54.0,16200000,645
11,Low,4,371,2,16199355,6,240502,840557.0,,16200000,645
2,Weak,4,419,4,32399566,5,240548,844808.0,,32400000,434
6,Weak,4,660,8,32399689,2,240562,,,32400000,311
18,High,4,719,3,48599450,6,240638,242181.0,1543.0,48600000,550
18,High,4,719,3,48599450,6,240638,845308.0,,48600000,550
4,Weak,4,505,4,32399377,6,240660,,,32400000,623
7,Weak,4,2145,10,32399562,3,240713,846308.0,,32400000,438
14,High,4,1815,11,48599385,2,240762,248805.0,8043.0,48600000,615
15,High,4,1920,12,48599473,2,240774,845683.0,,48600000,527
25,High,4,802,9,48599407,2,240779,,,48600000,593
20,High,4,724,9,48599519,2,240784,848308.0,,48600000,481
16,High,4,1862,11,48599448,3,240785,,,48600000,552
10,Low,4,544,6,16199337,5,240868,848058.0,,16200000,663
12,Low,4,739,6,16199175,5,240906,848933.0,,16200000,825
22,High,4,764,9,48599583,2,240974,847556.0,,48600000,417
9,Low,4,705,5,16198999,5,241020,,,16200000,1001
5,Weak,4,571,3,32399403,6,241027,247058.0,6031.0,32400000,597
19,High,4,949,4,48599441,6,241031,247183.0,6152.0,48600000,559
19,High,4,949,4,48599441,6,241031,843681.0,,48600000,559
17,High,4,743,9,48599492,2,241120,,,48600000,508
13,Low,4,922,9,16199490,2,241195,848434.0,,16200000,510
3,Weak,4,882,8,32399630,3,241211,847805.0,,32400000,370
21,High,4,643,3,48599381,6,241219,846058.0,,48600000,619
23,High,4,256,3,48599451,6,241257,249182.0,7925.0,48600000,549
24,High,5,802,6,48599430,3,300347,303806.0,3459.0,48600000,570
8,Low,5,476,5,16199110,6,300385,,,16200000,890
11,Low,5,393,2,16199211,6,300502,309557.0,9055.0,16200000,789
11,Low,5,393,2,16199211,6,300502,900557.0,,16200000,789
2,Weak,5,762,5,32399448,5,300548,307433.0,6885.0,32400000,552
6,Weak,5,850,9,32399628,2,300562,,,32400000,372
18,High,5,821,4,48599332,6,300639,909309.0,,48600000,668
4,Weak,5,256,3,32399289,6,300660,903431.0,,32400000,711
7,Weak,5,1993,10,32399483,3,300713,,,32400000,517
14,High,5,1761,12,48599294,2,300762,307683.0,6921.0,48600000,706
